experiment,seed,model_name,run_dir,weights,mAP50,mAP50_95,precision,recall,eval_split,confusion_matrix_path,training_seconds,head_ap,medium_ap,tail_ap,macro_ap,head_tail_ap_gap,baseline_tail_ap_real_only,baseline_macro_ap_real_only,tail_ap_gain_vs_real_only,macro_ap_gain_vs_real_only,baseline_tail_ap_basic_aug,baseline_macro_ap_basic_aug,tail_ap_gain_vs_basic_aug,macro_ap_gain_vs_basic_aug,head_ap_threshold,medium_ap_threshold,tail_ap_threshold,synthetic_images,ap_gain_per_100_synthetic_images,ap_gain_per_generated_image,ap_gain_per_training_hour
real_only,42,yolov8n.pt,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/real_only_yolov8n_seed42_20260712_0149,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/real_only_yolov8n_seed42_20260712_0149/weights/best.pt,0.1956072367133057,0.1491043078632496,0.209591999163455,0.265100326643912,val,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/real_only_yolov8n_seed42_20260712_0149/confusion_matrix_normalized.png,202.60400128364563,0.15534854352337518,0.12824166507585702,0.16789524354799512,0.1491043078632496,-0.012546700024619939,0.16789524354799512,0.1491043078632496,0.0,0.0,0.11050254114624639,0.12075207248161983,0.057392702401748735,0.028352235381629773,,0.14056297346109256,0.16789524354799512,0,,,1.0197909584077571
basic_aug,42,yolov8n.pt,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/basic_aug_yolov8n_seed42_20260712_0153,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/basic_aug_yolov8n_seed42_20260712_0153/weights/best.pt,0.1555328306639858,0.1207520724816198,0.1204518348719887,0.2903344626512907,val,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/basic_aug_yolov8n_seed42_20260712_0153/confusion_matrix_normalized.png,211.20871210098267,0.17153724723064187,0.08697236963691267,0.11050254114624639,0.12075207248161983,0.061034706084395485,0.16789524354799512,0.1491043078632496,-0.057392702401748735,-0.028352235381629773,0.11050254114624639,0.12075207248161983,0.0,0.0,,0.12541095036133504,0.11050254114624639,0,,,0.0
aug_oversample,42,yolov8n.pt,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/aug_oversample_yolov8n_seed42_20260712_0228,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/aug_oversample_yolov8n_seed42_20260712_0228/weights/best.pt,0.1929056485055124,0.1540727675644736,0.1637819236614177,0.2973022713406255,val,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/aug_oversample_yolov8n_seed42_20260712_0228/confusion_matrix_normalized.png,224.6684787273407,0.18802036745455,0.0910554720962883,0.19574592223621962,0.15407276756447363,-0.0077255547816696135,0.16789524354799512,0.1491043078632496,0.027850678688224495,0.004968459701224032,0.11050254114624639,0.12075207248161983,0.08524338108997323,0.033320695082853805,,0.1351304245318618,0.19574592223621962,120,0.07103615090831103,0.0007103615090831103,1.3659066623953544
aug_rfs,42,yolov8n.pt,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/aug_rfs_yolov8n_seed42_20260712_0232,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/aug_rfs_yolov8n_seed42_20260712_0232/weights/best.pt,0.1555328306639858,0.1207520724816198,0.1204518348719887,0.2903344626512907,val,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/aug_rfs_yolov8n_seed42_20260712_0232/confusion_matrix_normalized.png,201.8288073539734,0.17153724723064187,0.08697236963691267,0.11050254114624639,0.12075207248161983,0.061034706084395485,0.16789524354799512,0.1491043078632496,-0.057392702401748735,-0.028352235381629773,0.11050254114624639,0.12075207248161983,0.0,0.0,,0.12541095036133504,0.11050254114624639,0,,,0.0
aug_copy_paste,42,yolov8n.pt,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/aug_copy_paste_yolov8n_seed42_20260712_0236,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/aug_copy_paste_yolov8n_seed42_20260712_0236/weights/best.pt,0.2008038562112324,0.1528714236458695,0.2028782748771182,0.3313722866577328,val,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/aug_copy_paste_yolov8n_seed42_20260712_0236/confusion_matrix_normalized.png,219.4561848640442,0.195110827132919,0.10863503207822962,0.16371569003998798,0.15287142364586953,0.031395137092931014,0.16789524354799512,0.1491043078632496,-0.004179553508007139,0.0037671157826199286,0.11050254114624639,0.12075207248161983,0.053213148893741596,0.0321193511642497,,0.14794221164854296,0.16371569003998798,120,0.044344290744784666,0.00044344290744784663,0.8729183738254999
aug_uniform_inpaint,42,yolov8n.pt,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/aug_uniform_inpaint_yolov8n_seed42_20260712_0240,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/aug_uniform_inpaint_yolov8n_seed42_20260712_0240/weights/best.pt,0.1737483320356736,0.1348568960947563,0.1870261588772707,0.318279295655486,val,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/aug_uniform_inpaint_yolov8n_seed42_20260712_0240/confusion_matrix_normalized.png,212.0849077701569,0.17219629829698418,0.10580333162490807,0.13238177125634604,0.1348568960947562,0.03981452704063815,0.16789524354799512,0.1491043078632496,-0.035513472291649084,-0.014247411768493395,0.11050254114624639,0.12075207248161983,0.02187923011009965,0.014104823613136377,,0.13598195283948813,0.13238177125634604,120,0.018232691758416374,0.00018232691758416375,0.37138535327426087
aug_selective_inpaint,42,yolov8n.pt,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/aug_selective_inpaint_yolov8n_seed42_20260712_0243,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/aug_selective_inpaint_yolov8n_seed42_20260712_0243/weights/best.pt,0.1841646745783328,0.1404693910116683,0.198778316120155,0.2684036676431836,val,/content/drive/MyDrive/Military_OD/outputs_pilot/runs/aug_selective_inpaint_yolov8n_seed42_20260712_0243/confusion_matrix_normalized.png,213.6398284435272,0.17576787698604646,0.11738075604048787,0.13287726700270672,0.14046939101166833,0.04289060998333974,0.16789524354799512,0.1491043078632496,-0.035017976545288404,-0.00863491685158127,0.11050254114624639,0.12075207248161983,0.02237472585646033,0.019717318530048503,,0.14392035647028723,0.13287726700270672,120,0.01864560488038361,0.0001864560488038361,0.3770318187863048
