experiment,seed,class_id,class_name,ap50,ap50_95,run_dir,model_name,eval_split
real_only,42,31,SR71,0.4836715020034896,0.4335255769067947,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,val
real_only,42,32,Su34,0.1033483204153998,0.0968583465812716,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,val
real_only,42,33,Su57,0.2014160350773262,0.1811884752644619,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,val
real_only,42,34,Tornado,0.2319363041401737,0.2084411687514173,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,val
real_only,42,35,Tu160,0.54328216374269,0.4859683178534572,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,val
real_only,42,36,Tu95,0.3253437068036754,0.263931224415275,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,val
real_only,42,37,U2,0.2939166663803155,0.2551635852118877,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,val
real_only,42,38,US2,0.647902435115298,0.5666934064438943,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,val
real_only,42,39,V22,0.4549010109608236,0.3477472788597077,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,val
real_only,42,40,Vulcan,0.3780290417004568,0.3569798972935084,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,val
real_only,42,41,XB70,0.6024891640866874,0.4738968906287212,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,val
real_only,42,42,YF23,0.5361901787711878,0.5039992837965972,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,val
real_only,42,0,A10,0.382128684703632,0.2880966803957021,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,1,A400M,0.368947007917987,0.3172923760347055,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,2,AG600,0.4384012767541961,0.4256450029651285,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,3,AV8B,0.4507288162755385,0.3742514941106678,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,4,B1,0.2782386399634656,0.2411316390564752,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,5,B2,0.5313652123850809,0.4463162981128782,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,6,B52,0.1883438400920535,0.1499593469054569,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,7,Be200,0.5140500211332866,0.4358828168861294,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,8,C130,0.2769475299596687,0.2374539825848241,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,9,C17,0.3156994897050524,0.2341764347608372,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,10,C2,0.6744913040567972,0.6417370843353188,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,11,C5,0.4314531711271154,0.36361283522795,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,12,E2,0.4324314369087496,0.3178531190198991,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,13,E7,0.3690632183908046,0.3333180076628353,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,14,EF2000,0.1524507501668554,0.1317088905756251,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,15,F117,0.4912228192540375,0.4161762410408113,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,16,F14,0.029081398421587,0.0257643397837958,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,17,F15,0.160620605562348,0.1315544849238752,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,18,F16,0.3557291535404335,0.2738633489106843,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,19,F18,0.2667076571987028,0.217483196276093,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,20,F22,0.1997385499276072,0.1697492819502318,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,21,F35,0.2855930172770106,0.2127828565657774,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,22,F4,0.1879320281131386,0.1523358705690213,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,23,J20,0.3229146284720353,0.3198201599112167,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,24,JAS39,0.189481536738467,0.1443186734022851,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,25,MQ9,0.3795331845863031,0.2827476384755076,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,26,Mig31,0.2201972471519337,0.20632595124453,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,27,Mirage2000,0.1305947818754365,0.1212910666384794,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,28,P3,0.2232950622551491,0.210432984392326,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,29,RQ4,0.192855180533752,0.1224823182769611,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,30,Rafale,0.0816864790959652,0.0756739035709207,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,31,SR71,0.328334702882685,0.2763583337214004,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,32,Su34,0.3325576095674086,0.3106488348292378,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,33,Su57,0.1168410434550713,0.1131566233727384,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,34,Tornado,0.1317915675140346,0.1218433644504544,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,35,Tu160,0.2626705080472121,0.2229406581921845,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,36,Tu95,0.4603609544157355,0.3717809911003858,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,37,U2,0.206728258204796,0.1869178093056395,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,38,US2,0.5701207285464884,0.4562788846617953,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,39,V22,0.3856153101070027,0.2815375021588441,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,40,Vulcan,0.3034860755593294,0.2878879551410516,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,41,XB70,0.5160970635224367,0.4480340642635418,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,42,42,YF23,0.6266899342151395,0.6025601991056462,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed42_20260702_2112,yolov8n.pt,test
real_only,43,0,A10,0.4641848507479673,0.3973460860614107,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,1,A400M,0.3725589132329194,0.3172657615212866,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,2,AG600,0.6465082910018821,0.5777152094730248,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,3,AV8B,0.4594842036704947,0.3928015040074544,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,4,B1,0.2166137310007225,0.1764019917042399,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,5,B2,0.4992861207080706,0.4212155795532832,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,6,B52,0.4377341811365944,0.3457782239056554,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,7,Be200,0.6486224655847298,0.5657039407500257,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,8,C130,0.2930527081240158,0.2322105742866107,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,9,C17,0.2168358913098664,0.1877210936399304,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,10,C2,0.7099921344655343,0.6473163717145501,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,11,C5,0.3129999450599744,0.2389064816824802,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,12,E2,0.4110397836496333,0.3155377840799205,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,13,E7,0.6449206349206349,0.5742936507936508,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,14,EF2000,0.0706491392273701,0.0508253322938881,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,15,F117,0.3238442366579953,0.2496492035560235,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,16,F14,0.2302465759228529,0.220104909389892,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,17,F15,0.1382918626722843,0.1135402337543325,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,18,F16,0.1617882568187445,0.1151286028105361,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,19,F18,0.2519316902869311,0.1992755953623509,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,20,F22,0.2209021737948849,0.1862951620823641,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,21,F35,0.2550594981330466,0.2159693726744581,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,22,F4,0.1112777949504925,0.0829239917709635,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,23,J20,0.2196906217580019,0.2015319397927558,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,24,JAS39,0.0975069216833535,0.0772217349559848,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,25,MQ9,0.3189596521874528,0.2904385604632505,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,26,Mig31,0.1884486242817786,0.1667462123892658,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,27,Mirage2000,0.088223095949036,0.0631763220101883,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,28,P3,0.398099036304166,0.3625280654032297,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,29,RQ4,0.4480578930175023,0.3209613855646748,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,30,Rafale,0.0999854843863761,0.0853673657951581,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
