class_id,class_name,instance_count,image_count,baseline_ap,rarity_score,weakness_score,priority_score,num_synthetic_images
1,A400M,43,39,0.0744723468098123,0.0,0.9151913326293692,0.3660765330517477,30
15,F117,43,32,0.1059987052261709,0.0,0.8192268143138614,0.3276907257255446,25
7,Be200,41,40,0.2372623380739604,0.05204641446860314,0.4196674636200124,0.19909483412916684,15
2,AG600,36,34,0.3751319080567921,0.19385573495707653,0.0,0.11631344097424591,10
13,E7,17,16,0.0466109195732399,1.0,1.0,1.0,40
