class_id,class_name,instance_count,image_count,baseline_ap,rarity_score,weakness_score,priority_score,num_synthetic_images
26,Mig31,225,148,0.16671344549770464,0.0,0.9604824743397057,0.3841929897358823,80
29,RQ4,212,169,0.26650450538236525,0.062058627057020366,0.715202900451412,0.32331633641477703,80
32,Su34,210,160,0.15063589078270825,0.07194105591472699,1.0,0.44316463354883623,80
7,Be200,209,190,0.5574820798180329,0.07691745334816635,0.0,0.04615047200889981,40
37,U2,208,180,0.3142143868767241,0.08191760455862562,0.5979352873333341,0.288324677668509,80
31,SR71,206,174,0.4344167316566681,0.09199008302604561,0.30248617654049015,0.17618852043182343,80
36,Tu95,197,135,0.3292809257093232,0.1385546240769645,0.560902769299127,0.3074938821658295,80
35,Tu160,192,156,0.4827334225308265,0.1653471252195049,0.18372706762829294,0.17269910218302012,80
2,AG600,153,149,0.5374184183463839,0.4018139491425752,0.049315102395876,0.26081441044389553,80
41,XB70,119,111,0.4704289412073565,0.6631316060161876,0.21397063793835358,0.48346721878505394,80
28,P3,118,103,0.4225951104947894,0.6718975959965885,0.3315429097248638,0.5357557214878986,80
42,YF23,97,76,0.508796595361502,0.8752817855506543,0.11966557821757973,0.5730353026174245,80
13,E7,86,78,0.4890733089133089,1.0,0.1681440621747703,0.6672576248699081,80
